Metric,Value
Total Titles,7787
Movies,5377
TV Shows,2410
Peak Year for Titles Added,2019
Peak Titles Added,2153
Most Common Rating,TV-MA
Most Common Genre,International Movies
Top Country,United States
Average Movie Duration,99.31
Median Movie Duration,98.0
Average TV Show Seasons,1.78
